director
Carroll Ballard
Lance Young
Ringo Lam
Amy Holden Jones
Stanley Tucci
Robert M. Young
John Herzfeld
John Gray
Robert Lieberman
Norman Tokar
Norman Foster
John Hough
Robert Stevenson
David Swift
Duwayne Dunham
Charles Barton
Ken Annakin
Richard Fleischer
William Dear
Clyde Geronimi
William Roberts
Harold D. Schuster
Samuel Armstrong
Don Chaffey
Ted Berman
Matthew Bright
Robert Wise
Tom Hanks
Michael Pressman
Hettie MacDonald
Al Pacino
Steve Buscemi
John McNaughton
Baz Luhrmann
Doug Liman
Scott Silver
Tad Stones
Edward Dmytryk
Mel Stuart
Jack Clayton
Charles Crichton
Terry Jones
Arthur Penn
John Sturges
Frédéric Mitterrand
Emile Ardolino
Ted Kotcheff
Alan J. Pakula
Edwin L. Marin
Nicholas Ray
Greg Spence
Claude Nuridsany
Alan Taylor
Miloš Forman
R. J. Cutler
Mark Rydell
Ate de Jong
Joe Dante
Howard Zieff
Bruce LaBruce
Leon Gast
Daniel Vigne
Jan Švankmajer
Anthony Mann
Volker Schlöndorff
Martine Dugowson
Nina Menkes
Eric Red
Barbara Kopple
Peter Greenaway
Michel Blanc
Peter Chelsom
Fred Olen Ray
Gabriele Salvatores
Errol Morris
Jennie Livingston
Lou Adler
Irvin Kershner
Sergio Leone
Bruce Robinson
David Lean
Robert Mulligan
Richard Marquand
Wim Wenders
Carol Reed
Akira Kurosawa
John Ford
Andrei Tarkovsky
George Roy Hill
Hal Ashby
Ingmar Bergman
Tom Stoppard
Savage Steve Holland
Fritz Lang
Michael Cimino
Jean-Jacques Beineix
Allan Moyle
Franklin J. Schaffner
Katsuhiro Ōtomo
Stuart Rosenberg
Charlie Chaplin
Fred Zinnemann
Jeannot Szwarc
Godfrey Reggio
Fred M. Wilcox
Phil Alden Robinson
Doug Pray
John Murlowski
Susan Streitfeld
Herb Gardner
Tony Randel
Steve White
Damiano Damiani
Tom Bery
Paul Morrissey
Fred Walton
Irvin S. Yeaworth Jr.
Jeffrey Bloom
James Whale
Dan Curtis
J. Lee Thompson
Paul Schrader
F.W. Murnau
Augusto Caminito
Bob Rafelson
Kevin Spacey
Barbra Streisand
Lars von Trier
Ole Bornedal
Jonathan Frakes
Scott Hicks
Billy Bob Thornton
Joe Berlinger
Patrice Leconte
Claire Denis
Nicholas Meyer
William Shatner
Leonard Nimoy
Patricia Birch
Daniel J. Sullivan
Joe Alves
Alexander Payne
Cameron Crowe
Anjelica Huston
Jerry Zaks
Mike Judge
Robert Harling
Dan Ireland
Albert Brooks
Murray Lerner
Ralph Ziman
Robert Butler
Michael Rymer
Roger Christian
Thomas Carter
François Dupeyron
Andrew Birkin
E. Max Frye
Jan Svěrák
Vondie Curtis-Hall
Christopher Guest
Sergei Bodrov Jr.
Craig Rosenberg
R. Paul Miller
Bob Spiers
Stephen Kessler
David Lynch
Greg Mottola
Mark Dindal
Robert Townsend
Emma-Kate Croghan
Shuki Levy
Tsui Hark
George Armitage
Leslie Greif
Lynne Stopkewich
Tom Schulman
Angela Pope
Jack Green
David Mirkin
Peter Duncan
Jay Roach
Jonathan Mostow
Kiefer Sutherland
Ronny Yu
Kevin Bacon
Joe Mantello
Masayuki Suo
Kevin Allen
Griffin Dunne
Mark Herman
David Hare
Jacques Doillon
Clare Peploe
Simon West
Laetitia Masson
Shinya Tsukamoto
Cédric Klapisch
Mohsen Makhmalbaf
John Milius
Mark A.Z. Dippé
Charles Martin Smith
Neil LaBute
Sam Pillsbury
